sample_id,ade_m
1028,6.528722
1029,7.171292
1030,6.613921
1031,7.256574
1032,6.702137
1033,7.350270
1034,6.798656
1035,7.444457
1036,6.889755
1037,7.541827
1038,6.993135
1039,7.641620
1040,7.094840
1041,7.744227
1042,7.196450
1043,7.846777
1044,7.306304
1045,7.955364
1046,7.412499
1047,8.062124
1048,7.515219
1049,8.161474
1050,7.619020
1051,8.264679
1052,7.727498
1053,8.372391
1054,7.831356
1055,8.476093
1056,7.932101
1057,8.568242
1058,8.019626
1059,8.647522
1060,8.098684
1061,8.740430
1062,8.205266
1063,8.855975
1064,8.324576
1065,8.958042
1066,8.410232
1067,9.026775
1068,8.477180
1069,9.082511
1070,8.530136
1071,9.140296
1072,8.581182
1073,9.194232
1074,8.627196
1075,9.243525
1076,8.674223
1077,9.296505
1078,8.705642
1079,9.314490
1080,8.725615
1081,9.334884
1082,8.747817
1083,9.366505
1084,8.777966
1085,9.400198
1086,8.813951
1087,9.420450
1088,8.842185
1089,9.457799
1090,8.882598
1091,9.521953
1092,8.963147
1093,9.620242
1094,9.088963
1095,9.758566
1096,9.234342
1097,9.897441
1098,9.368773
1099,10.018497
1100,9.488026
1101,10.133084
1102,9.599110
1103,10.254171
1104,9.721565
1105,10.370357
1106,9.831460
1107,10.450505
1108,9.898653
1109,10.487913
1110,9.914936
1111,10.487028
1112,9.899634
1113,10.461282
1114,9.872685
1115,10.432552
1116,9.834754
1117,10.407125
1118,9.805397
1119,10.378512
1120,9.772734
1121,10.349868
1122,9.745648
1123,10.325181
1124,9.719508
1125,10.301683
1126,9.693357
1127,10.279893
1128,9.674887
1129,10.257545
1130,9.647782
1131,10.231114
1132,9.627895
1133,10.204180
1134,9.595692
1135,10.174129
1136,9.563798
1137,10.141364
1138,9.523864
1139,10.094280
1140,9.467944
1141,10.016212
1142,9.379417
1143,9.923965
1144,9.283192
1145,9.835447
1146,9.189684
1147,9.734306
1148,9.072701
1149,9.614654
1150,8.939960
1151,9.474738
1152,8.785889
1153,9.315044
1154,8.621406
1155,9.152582
1156,8.453925
1157,8.994399
1158,8.286397
1159,8.835727
1160,8.132921
1161,8.709567
1162,8.017019
1163,8.611322
1164,7.923973
1165,8.528067
1166,7.852881
1167,8.458409
1168,7.789343
1169,8.404287
1170,7.745669
1171,8.352099
1172,7.709749
1173,8.322883
1174,7.674477
1175,8.290463
1176,7.646101
1177,8.261655
1178,7.623405
1179,8.244405
1180,7.605975
1181,8.225036
1182,7.591611
1183,8.209798
1184,7.579095
1185,8.197242
1186,7.572928
1187,8.186847
1188,7.563147
1189,8.177974
1190,7.560515
1191,8.170301
1192,7.549650
1193,8.163085
1194,7.546619
1195,8.158345
1196,7.545242
1197,8.153021
1198,7.543222
1199,8.153979
1200,7.544414
1201,8.155208
1202,7.548860
1203,8.157626
1204,7.557253
1205,8.164822
1206,7.560198
1207,8.170150
1208,7.569652
1209,8.180384
